frequency_Hz,H_rx_E_fine_real_m,H_rx_E_fine_imag_m,H_rx_E_baseline_real_m,H_rx_E_baseline_imag_m,H_rx_E_orthogonal_real_m,H_rx_E_orthogonal_imag_m,S11_fine_real,S11_fine_imag,S11_baseline_real,S11_baseline_imag,Zin_fine_real_ohm,Zin_fine_imag_ohm,Zin_baseline_real_ohm,Zin_baseline_imag_ohm,H_magnitude_relative_change,phase_difference_rad,cross_polarization_ratio
2.900000000000000000e+09,-1.224056881247222776e-05,-1.214833093407975577e-05,-1.466021509763659679e-05,-1.341227078612587758e-05,5.669434341268787146e-11,7.539946561652093052e-12,9.996679413588605012e-01,-2.571064278545306253e-02,9.995076030609673090e-01,-2.826402286589206614e-02,2.245994483972151845e-01,-3.888791241902571983e+03,1.161913583322364829e+01,-3.536993279423413696e+03,1.521638862977468809e-01,-4.064316492483060345e-02,2.878407606237234978e-06
2.910000000000000000e+09,-1.231637694904037516e-05,-1.215706063213968035e-05,-1.474963141211983336e-05,-1.341691508177472195e-05,5.658803556795136412e-11,7.944305815216575140e-12,9.996656369357397320e-01,-2.580032160592693122e-02,9.995068402092293081e-01,-2.836138257124767859e-02,2.221294162458004595e-01,-3.875269816479590190e+03,1.129168642579507420e+01,-3.524855431628161114e+03,1.521659119979263675e-01,-4.077063981977351037e-02,2.865883447137217373e-06
2.920000000000000000e+09,-1.239231804009397167e-05,-1.216546661871320308e-05,-1.483920825997524890e-05,-1.342115620239253167e-05,5.649515627126641856e-11,8.322821564921094610e-12,9.996633224796419581e-01,-2.588997724357847488e-02,9.995060786245522078e-01,-2.845877921758680970e-02,2.200737232159952761e-01,-3.861845496789911977e+03,1.096695299548656344e+01,-3.512796046323053815e+03,1.521687688181296016e-01,-4.089888153458041964e-02,2.854070661560203982e-06
2.930000000000000000e+09,-1.246839096725214887e-05,-1.217354834171985976e-05,-1.492894382035288287e-05,-1.342499302227237074e-05,5.641481734939334644e-11,8.675822176036769647e-12,9.996609980970631026e-01,-2.597960992651815806e-02,9.995053168575553926e-01,-2.855621252495197868e-02,2.184082343444374852e-01,-3.848517208181441674e+03,1.064508257071597441e+01,-3.500814395908711958e+03,1.521724216717270650e-01,-4.102788209345071407e-02,2.842893094048779425e-06
2.940000000000000000e+09,-1.254459461365900092e-05,-1.218130525246018765e-05,-1.501883626224206225e-05,-1.342842443444174415e-05,5.634615302528105027e-11,9.003647584959384755e-12,9.996586638938831371e-01,-2.606921989475912554e-02,9.995045534880091509e-01,-2.865368220347814729e-02,2.171094552426112712e-01,-3.835283890006180627e+03,1.032621428854505474e+01,-3.488909763067520089e+03,1.521768360365642336e-01,-4.115763301302263755e-02,2.832279134337182518e-06
2.950000000000000000e+09,-1.262092786387568437e-05,-1.218873680551466767e-05,-1.510888374502935911e-05,-1.343144935073925767e-05,5.628831978242894511e-11,9.306648691787438049e-12,9.996563199752532825e-01,-2.615880739981399361e-02,9.995037871248166894e-01,-2.875118795379186937e-02,2.161545327885183443e-01,-3.822144495451224429e+03,1.001047962350468268e+01,-3.477081440531580938e+03,1.521819779690062324e-01,-4.128812532584382605e-02,2.822161600648885571e-06
2.960000000000000000e+09,-1.269738960377413586e-05,-1.219584245864696614e-05,-1.519908441905174038e-05,-1.343406670187326647e-05,5.624049622000246793e-11,9.585186764816313342e-12,9.996539664454875407e-01,-2.624837270429505529e-02,9.995030164059889310e-01,-2.884872946740039967e-02,2.155212549395051636e-01,-3.809097991371033913e+03,9.698002611800029982e+00,-3.465328730857100709e+03,1.521878141168449272e-01,-4.141934960354676232e-02,2.812477607983172685e-06
2.970000000000000000e+09,-1.277397872042940240e-05,-1.220262167271091868e-05,-1.528943642614454733e-05,-1.343627543746199564e-05,5.620188289906729094e-11,9.839632856920452890e-12,9.996516034079561130e-01,-2.633791608151796193e-02,9.995022399985974415e-01,-2.894630642707864826e-02,2.151880500483811798e-01,-3.796143358121451456e+03,9.388900071188750474e+00,-3.453650946204892080e+03,1.521943117312311855e-01,-4.155129597985551815e-02,2.803168424326842831e-06
2.980000000000000000e+09,-1.285069410201406206e-05,-1.220907391156113777e-05,-1.537993790018404730e-05,-1.343807452605496509e-05,5.617170218030738094e-11,1.007036723379795605e-11,9.996492309649830377e-01,-2.642743781510761489e-02,9.995014565987225819e-01,-2.904391850724800245e-02,2.151339852135927544e-01,-3.783279589395240691e+03,9.083281816040477352e+00,-3.442047408127016297e+03,1.522014386774922790e-01,-4.168395417329952279e-02,2.794179317503587882e-06
2.990000000000000000e+09,-1.292753463769172656e-05,-1.221519864196690166e-05,-1.547058696762369196e-05,-1.343946295513669779e-05,5.614919805357662111e-11,1.027777881404239859e-11,9.996468492177487120e-01,-2.651693819860877904e-02,9.995006649313847857e-01,-2.914156537434827582e-02,2.153387642337072916e-01,-3.770505692059136891e+03,8.781250868240203289e+00,-3.430517447359347898e+03,1.522091634450286612e-01,-4.181731350969725841e-02,2.785459395130516380e-06
3.000000000000000000e+09,-1.300449921751177369e-05,-1.222099533353022429e-05,-1.556138174802367379e-05,-1.344043973111349089e-05,5.613363595963467463e-11,1.046226462099827603e-11,9.996444582661946354e-01,-2.660641753509819518e-02,9.994998637504632910e-01,-2.923924668720695452e-02,2.157827247710025209e-01,-3.757820685992495328e+03,8.482903663654081328e+00,-3.419060403619759654e+03,1.522174551561886469e-01,-4.195136294434237412e-02,2.776961439900278958e-06
3.010000000000000000e+09,-1.308158673230468281e-05,-1.222646345860701003e-05,-1.565232035457339978e-05,-1.344100387928286488e-05,5.612430260440639572e-11,1.062422924635904158e-11,9.996420582089327045e-01,-2.669587613680304838e-02,9.994990518386058787e-01,-2.933696209739922525e-02,2.164468349768668975e-01,-3.745223603927473050e+03,8.188330254176539924e+00,-3.407675625412036879e+03,1.522262835742024811e-01,-4.208609108389712444e-02,2.768641742155271371e-06
3.020000000000000000e+09,-1.315879607357726201e-05,-1.223160249223175759e-05,-1.574340089460653146e-05,-1.344115444378662951e-05,5.612050576609755381e-11,1.076408432545111230e-11,9.996396491431579490e-01,-2.678531432472018234e-02,9.994982280071249559e-01,-2.943471124960359356e-02,2.173126895554267357e-01,-3.732713491290649472e+03,7.897614505646071592e+00,-3.396362469835120464e+03,1.522356191102349765e-01,-4.222148620801595420e-02,2.760459931473998894e-06
3.030000000000000000e+09,-1.323612613340980304e-05,-1.223641191204601451e-05,-1.583462147010722266e-05,-1.344089048754785777e-05,5.612157409549758149e-11,1.088224802415298975e-11,9.996372311645643771e-01,-2.687473242824162112e-02,9.994973910958852015e-01,-2.953249378194911998e-02,2.183625053222257584e-01,-3.720289406046309523e+03,7.610834291455316425e+00,-3.385120302397734577e+03,1.522454328294380876e-01,-4.235753629059836600e-02,2.752378808754596980e-06
3.040000000000000000e+09,-1.331357580435260605e-05,-1.224089119822968783e-05,-1.592598017820846281e-05,-1.344021109219278944e-05,5.612685690978585930e-11,1.097914453738416059e-11,9.996348043672662609e-01,-2.696413078478189507e-02,9.994965399731761124e-01,-2.963030932636276718e-02,2.195791161517559875e-01,-3.707950418541118324e+03,7.328061682070321048e+00,-3.373948496838039773e+03,1.522556964562613580e-01,-4.249422902074807135e-02,2.744364180058296210e-06
3.050000000000000000e+09,-1.339114397932440851e-05,-1.224503983343617331e-05,-1.601747511168106911e-05,-1.343911535795683924e-05,5.613572398015920677e-11,1.105520359910202481e-11,9.996323688437206423e-01,-2.705350973941130638e-02,9.994956735355812194e-01,-2.972815750890181463e-02,2.209459675870272533e-01,-3.695695611350286526e+03,7.049363130327378713e+00,-3.362846434948397928e+03,1.522663823787911708e-01,-4.263155182338786153e-02,2.736384693271418181e-06
3.060000000000000000e+09,-1.346882955151066161e-05,-1.224885730273058631e-05,-1.610910435941353069e-05,-1.343760240357678479e-05,5.614756531358657217e-11,1.111086000373366849e-11,9.996299246846563902e-01,-2.714286964449254269e-02,9.994947907078300942e-01,-2.982603795008906961e-02,2.224471108812118292e-01,-3.683524079125332264e+03,6.774799652890854951e+00,-3.351813506404910640e+03,1.522774636523628600e-01,-4.276949187953357767e-02,2.728411678456393432e-06
3.070000000000000000e+09,-1.354663141426398190e-05,-1.225234309353131828e-05,-1.620086600688230499e-05,-1.343567136616795357e-05,5.616179092899244748e-11,1.114655313897174433e-11,9.996274719790027019e-01,-2.723221085932105850e-02,9.994938904426466930e-01,-2.992395026523602536e-02,2.240671966802360582e-01,-3.671434928443183253e+03,6.504427007497509017e+00,-3.340849108601816170e+03,1.522889140022820609e-01,-4.290803614620325446e-02,2.720418992593777825e-06
3.080000000000000000e+09,-1.362454846100424712e-05,-1.225549669555434092e-05,-1.629275813661136028e-05,-1.343332140108913647e-05,5.617783062816326539e-11,1.116272652985381632e-11,9.996250108138268198e-01,-2.732153374977043872e-02,9.994929717205851549e-01,-3.002189406476309455e-02,2.257914682366998771e-01,-3.659427277656852311e+03,6.238295866372292053e+00,-3.329952646490303323e+03,1.523007078258704627e-01,-4.304717137592007498e-02,2.712382869266110724e-06
3.090000000000000000e+09,-1.370257958512033019e-05,-1.225831760076138470e-05,-1.638477882862183832e-05,-1.343055168179299495e-05,5.619513376166682761e-11,1.115982739404439878e-11,9.996225412742698602e-01,-2.741083868794256390e-02,9.994920335498573838e-01,-3.011986895451372256e-02,2.276057543070846567e-01,-3.647500256747526691e+03,5.976451985749523743e+00,-3.319123532421989239e+03,1.523128201936736481e-01,-4.318688413591236647e-02,2.704281773701653657e-06
3.100000000000000000e+09,-1.378072367987279383e-05,-1.226080530331090076e-05,-1.647692616087102069e-05,-1.342736139966464370e-05,5.621316899006495934e-11,1.113830620823457114e-11,9.996200634434888599e-01,-2.750012605182088066e-02,9.994910749661533034e-01,-3.021787453606174581e-02,2.294964617284362962e-01,-3.635653007178080770e+03,5.718936371603535740e+00,-3.308361185996590393e+03,1.523252268499875328e-01,-4.332716082689316850e-02,2.696096263479430817e-06
3.110000000000000000e+09,-1.385897963829778103e-05,-1.226295929951145036e-05,-1.656919820967984333e-05,-1.342374976384836459e-05,5.623142404069654681e-11,1.109861628556916385e-11,9.996175774026034855e-01,-2.758939622493009405e-02,9.994900950324528965e-01,-3.031591040701323014e-02,2.314505674855029949e-01,-3.623884681748101229e+03,5.465785441496924690e+00,-3.297665033913914158e+03,1.523379042126913052e-01,-4.346798770139885526e-02,2.687808855096823867e-06
3.120000000000000000e+09,-1.393734635311160026e-05,-1.226477908777912963e-05,-1.666159305014965023e-05,-1.341971600106176601e-05,5.624940546030058666e-11,1.104121336400964368e-11,9.996150832306435197e-01,-2.767864959599886446e-02,9.994890928388279194e-01,-3.041397616130357348e-02,2.334556107028664118e-01,-3.612194444450266474e+03,5.217031182810854872e+00,-3.287034509829938088e+03,1.523508293723672413e-01,-4.360935088184016845e-02,2.679403896514901451e-06
3.130000000000000000e+09,-1.401582271661679960e-05,-1.226626416859725587e-05,-1.675410875656707185e-05,-1.341525935539997590e-05,5.626663836374195445e-11,1.096655520553731881e-11,9.996125810045010107e-01,-2.776788655862892294e-02,9.994880675022391747e-01,-3.051207138948771810e-02,2.354996841747257486e-01,-3.600581470328172600e+03,4.972701307305793961e+00,-3.276469054216822769e+03,1.523639800908027087e-01,-4.375123637806135196e-02,2.670867445723778731e-06
3.140000000000000000e+09,-1.409440762060945737e-05,-1.226741404447885586e-05,-1.684674340279725504e-05,-1.341037908812887598e-05,5.628266617909835393e-11,1.087510120609788325e-11,9.996100707988864187e-01,-2.785710751096732996e-02,9.994870181663250142e-01,-3.061019567902474592e-02,2.375714256935405333e-01,-3.589044945335625016e+03,4.732819402012779619e+00,-3.265968114226916441e+03,1.523773347988537086e-01,-4.389363010450508112e-02,2.662187155309774554e-06
3.150000000000000000e+09,-1.417309995628753310e-05,-1.226822821993236273e-05,-1.693949506266513629e-05,-1.340507447746804441e-05,5.629705038935894074e-11,1.076731201618608891e-11,9.996075526862867600e-01,-2.794631285538472579e-02,9.994859440011828466e-01,-3.070834861455726608e-02,2.396600091132802535e-01,-3.577584066197243828e+03,4.497405076655106804e+00,-3.255531143560379860e+03,1.523908725936845288e-01,-4.403651789699726538e-02,2.653352162955772265e-06
3.160000000000000000e+09,-1.425189861416050949e-05,-1.226870620142982846e-05,-1.703236181032437543e-05,-1.339934481836473527e-05,5.630937027098135278e-11,1.064364917196659997e-11,9.996050267369279707e-01,-2.803550299815870187e-02,9.994848442031453173e-01,-3.080652977818556376e-02,2.417551352292541533e-01,-3.566198040270511683e+03,4.266474107525495718e+00,-3.245157602336630589e+03,1.524045732354439853e-01,-4.417988552907747141e-02,2.644352987765479206e-06
3.170000000000000000e+09,-1.433080248396027266e-05,-1.226884749737792322e-05,-1.712534172061443759e-05,-1.339318942225835596e-05,5.631922262954572452e-11,1.050457473682436212e-11,9.996024930187416002e-01,-2.812467834916141524e-02,9.994837179945473826e-01,-3.090473874973513613e-02,2.438470223547812288e-01,-3.554886085409193583e+03,4.040038577923731111e+00,-3.234846956969181065e+03,1.524184171433847768e-01,-4.432371872794697854e-02,2.635181432269698013e-06
3.180000000000000000e+09,-1.440981045455352893e-05,-1.226865161809141984e-05,-1.721843286940466140e-05,-1.338660761683737208e-05,5.632622153273935703e-11,1.035055095323429548e-11,9.995999515973319482e-01,-2.821383932155228230e-02,9.994825646234903882e-01,-3.100297510701916295e-02,2.459263967769347026e-01,-3.543647429828200984e+03,3.818107015257547143e+00,-3.224598680044077355e+03,1.524323853914454907e-01,-4.446800318992970291e-02,2.625830489947343117e-06
3.190000000000000000e+09,-1.448892141385536347e-05,-1.226811807576970894e-05,-1.731163333392612304e-05,-1.337959874578713054e-05,5.632999804090087571e-11,1.018203990484119615e-11,9.995974025359479764e-01,-2.830298633147650122e-02,9.994813833635990408e-01,-3.110123842609590142e-02,2.479844831030332819e-01,-3.532481311969646868e+03,3.600684524720887847e+00,-3.214412250201582538e+03,1.524464597032951785e-01,-4.461272459558436598e-02,2.616294258074795945e-06
3.200000000000000000e+09,-1.456813424874418456e-05,-1.226724638447517083e-05,-1.740494119309061202e-05,-1.337216216853121125e-05,5.633019993534559880e-11,9.999503188633640301e-12,9.995948458954599936e-01,-2.839211979776893810e-02,9.994801735137722742e-01,-3.119952828151974222e-02,2.500129942220289947e-01,-3.521386980370468791e+03,3.387772919832692686e+00,-3.204287152021197926e+03,1.524606224469298998e-01,-4.475786862431974794e-02,2.606567855703034515e-06
3.210000000000000000e+09,-1.464744784497823672e-05,-1.226603606011462040e-05,-1.749835452779690802e-05,-1.336429725996566711e-05,5.632649144468865700e-11,9.803401597098437946e-12,9.995922817343350086e-01,-2.848124014166140625e-02,9.994789343979296747e-01,-3.129784424658763053e-02,2.520041213695199955e-01,-3.510363693531264289e+03,3.179370849618345041e+00,-3.194222875909756112e+03,1.524748566287717766e-01,-4.490342096860727023e-02,2.596647346552610921e-06
3.220000000000000000e+09,-1.472686108711327918e-05,-1.226448662042305761e-05,-1.759187142122401021e-05,-1.335600341018645735e-05,5.631855296937720896e-11,9.594194810237105553e-12,9.995897101086201886e-01,-2.857034778649774481e-02,9.994776653647523545e-01,-3.139618589357985601e-02,2.539505239624280652e-01,-3.499410719786486425e+03,2.975473922739794386e+00,-3.184218917992669049e+03,1.524891458873143812e-01,-4.504936734777565538e-02,2.586529666610837353e-06
3.230000000000000000e+09,-1.480637285842203822e-05,-1.226259758494955934e-05,-1.768548995911181006e-05,-1.334728002421188661e-05,5.630608080463716481e-11,9.372341097325455132e-12,9.995871310719250946e-01,-2.865944315745178050e-02,9.994763657874194962e-01,-3.149455279399549640e-02,2.558453193236298051e-01,-3.488527337176042238e+03,2.776074828412130380e+00,-3.174274780008109701e+03,1.525034744863779934e-01,-4.519569352132996043e-02,2.576212556212669451e-06
3.240000000000000000e+09,-1.488598204081464869e-05,-1.226036847504568859e-05,-1.777920823002837768e-05,-1.333812652169867449e-05,5.628878686203445313e-11,9.138297028295634828e-12,9.995845446754113572e-01,-2.874852668125318922e-02,9.994750350633411218e-01,-3.159294451878295190e-02,2.576820722688306642e-01,-3.477712833318092180e+03,2.581163454369536758e+00,-3.164389969204078170e+03,1.525178273079302871e-01,-4.534238530188582778e-02,2.565694496387101466e-06
3.250000000000000000e+09,-1.496568751476126403e-05,-1.225779881385609410e-05,-1.787302432562472900e-05,-1.332854233665408964e-05,5.626639838984560686e-11,8.892517194617661929e-12,9.995819509677776882e-01,-2.883759878591549836e-02,9.994736726138845340e-01,-3.169136063856337754e-02,2.594547847265904483e-01,-3.466966505283297010e+03,2.390727001702747323e+00,-3.154563998238370459e+03,1.525321898445375357e-01,-4.548942856762296094e-02,2.554974649252486907e-06
3.260000000000000000e+09,-1.504548815921549632e-05,-1.225488812631151722e-05,-1.796693634087620305e-05,-1.331852691714305599e-05,5.623865769242734414e-11,8.635453939557791281e-12,9.995793499952571048e-01,-2.892665990047278354e-02,9.994722778840970934e-01,-3.178980072385224204e-02,2.611578851944661994e-01,-3.456287659470252038e+03,2.204750096887145627e+00,-3.144796385081086100e+03,1.525465481914449750e-01,-4.563680927434836387e-02,2.544052802248341186e-06
3.270000000000000000e+09,-1.512538285153986217e-05,-1.225163593912343194e-05,-1.806094237431108971e-05,-1.330807972499180468e-05,5.620532184876860405e-11,8.367557097687268725e-12,9.995767418016093808e-01,-2.901571045471946012e-02,9.994708503424291068e-01,-3.188826434527329556e-02,2.627862181788009899e-01,-3.445675611482314707e+03,2.023214900793978366e+00,-3.135086652919954304e+03,1.525608890383290672e-01,-4.578451346708124065e-02,2.532929315995839339e-06
3.280000000000000000e+09,-1.520537046743242964e-05,-1.224804178078148004e-05,-1.815504052822635206e-05,-1.329720023548777370e-05,5.616616243040523316e-11,8.089273743516608913e-12,9.995741264281207128e-01,-2.910475087895647572e-02,9.994693894804469458e-01,-3.198675107376747900e-02,2.643350335813230423e-01,-3.435129686005605890e+03,1.846101214918774325e+00,-3.125434330068164400e+03,1.525751996607134509e-01,-4.593252729125894135e-02,2.521605075585580148e-06
3.290000000000000000e+09,-1.528544988085537104e-05,-1.224410518155250885e-05,-1.824922890889041962e-05,-1.328588793707707142e-05,5.612096521886947347e-11,7.801047949126829068e-12,9.995715039136017221e-01,-2.919378160374253017e-02,9.994678948125463869e-01,-3.208526048079837073e-02,2.657999760587325677e-01,-3.424649216688456363e+03,1.673386584787603937e+00,-3.115838949874632817e+03,1.525894679110899599e-01,-4.608083700346529005e-02,2.510081445097764796e-06
3.300000000000000000e+09,-1.536561996396472012e-05,-1.223982567348157080e-05,-1.834350562673315072e-05,-1.327414233105897723e-05,5.606952992284531007e-11,7.503320550670399892e-12,9.995688742943934502e-01,-2.928280305965112393e-02,9.994663658756648417e-01,-3.218379213855077081e-02,2.671770743702926998e-01,-3.414233546021943766e+03,1.505046400623401892e+00,-3.106300050636818924e+03,1.526036822097614210e-01,-4.622942898176097409e-02,2.498360225167593206e-06
3.310000000000000000e+09,-1.544587958704195731e-05,-1.223520279039525049e-05,-1.843786879652301150e-05,-1.326196293127879214e-05,5.601166989519188356e-11,7.196528923612442103e-12,9.995662376043719100e-01,-2.937181567703316468e-02,9.994648022289841505e-01,-3.228234562012612108e-02,2.684627307397876583e-01,-3.403882025221809272e+03,1.341053995368189256e+00,-3.096817175515684994e+03,1.526178315354038972e-01,-4.637828973558210527e-02,2.486443613416134316e-06
3.320000000000000000e+09,-1.552622761842710082e-05,-1.223023606790615065e-05,-1.853231653753205417e-05,-1.324934926381910713e-05,5.594721184999436092e-11,6.881106766581292278e-12,9.995635938749546368e-01,-2.946081988578426111e-02,9.994632034536375942e-01,-3.238092049973106262e-02,2.696537101508758028e-01,-3.393594014111583874e+03,1.181380739966749527e+00,-3.087389872453164116e+03,1.526319054154284260e-01,-4.652740591520428820e-02,2.474334167575032592e-06
3.330000000000000000e+09,-1.560666292445356813e-05,-1.222492504342032225e-05,-1.862684697368721068e-05,-1.323630086668971117e-05,5.587599557979785887e-11,6.557483893699650702e-12,9.995609431351124563e-01,-2.954981611511811254e-02,9.994615691524102452e-01,-3.247951635286343286e-02,2.707471297236034857e-01,-3.383368881006995252e+03,1.025996136191748231e+00,-3.078017694091604426e+03,1.526458939160142969e-01,-4.667676432080566234e-02,2.462034771141678039e-06
3.340000000000000000e+09,-1.568718436938415725e-05,-1.221926925614522498e-05,-1.872145823371062235e-05,-1.322281728951710958e-05,5.579787367317119910e-11,6.226086035263373411e-12,9.995582854113815863e-01,-2.963880479334544266e-02,9.994598989494376529e-01,-3.257813275649163592e-02,2.717404481395962468e-01,-3.373206002601562432e+03,8.748679067753928340e-01,-3.068700197695506176e+03,1.526597876320691938e-01,-4.682635191110805228e-02,2.449548601408935670e-06
3.350000000000000000e+09,-1.576779081534927432e-05,-1.221326824710034390e-05,-1.881614845124680998e-05,-1.320889809323409326e-05,5.571271123274855411e-11,5.887334646637295508e-12,9.995556207278788463e-01,-2.972778634765824851e-02,9.994581924899045289e-01,-3.267676928922963464e-02,2.726314549801866494e-01,-3.363104763853430086e+03,7.279620831955107008e-01,-3.059436945075312906e+03,1.526735776769042596e-01,-4.697615581159093889e-02,2.436879099722241709e-06
3.360000000000000000e+09,-1.584848112228643847e-05,-1.220692155912912586e-05,-1.891091576497755530e-05,-1.319454284976843205e-05,5.562038559388594028e-11,5.541646725235429867e-12,9.995529491063179783e-01,-2.981676120391904203e-02,9.994564494397371046e-01,-3.277542553150847304e-02,2.734182602628091874e-01,-3.353064557873492504e+03,5.852430909070974741e-01,-3.050227502513091622e+03,1.526872556717315810e-01,-4.712616332232690691e-02,2.424029943824220960e-06
3.370000000000000000e+09,-1.592925414788144695e-05,-1.220022873691237280e-05,-1.900575831872564888e-05,-1.317975114173348914e-05,5.552078604407143407e-11,5.189434635453231929e-12,9.995502705660287424e-01,-2.990572978645647875e-02,9.994546694852997071e-01,-3.287410106574115837e-02,2.740992839094590905e-01,-3.343084785814616680e+03,4.466738322504041903e-01,-3.041071440690364852e+03,1.527008137350745198e-01,-4.727636192538094834e-02,2.411005022154669999e-06
3.380000000000000000e+09,-1.601010874751103097e-05,-1.219318932698372207e-05,-1.910067426154559049e-05,-1.316452256211871528e-05,5.541381354321762159e-11,4.831105941419235943e-12,9.995475851239787879e-01,-2.999469251786562179e-02,9.994528523330825642e-01,-3.297279547648496872e-02,2.746732453290736675e-01,-3.333164856762164163e+03,3.122157669721609130e-01,-3.031968334617624805e+03,1.527142444719509773e-01,-4.742673929184213627e-02,2.397808409981423249e-06
3.390000000000000000e+09,-1.609104377418769016e-05,-1.218580287774592985e-05,-1.919566174780402667e-05,-1.314885671398226049e-05,5.529938044496464954e-11,4.467063247433465768e-12,9.995448927947957474e-01,-3.008364981881399280e-02,9.994509977093952724e-01,-3.307150835059786270e-02,2.751391530839223387e-01,-3.323304187625672512e+03,1.818289904797449619e-01,-3.022917763565817040e+03,1.527275409630003411e-01,-4.757728328842431714e-02,2.384444347244312282e-06
