frequency_Hz,S11_real,S11_imag,S21_real,S21_imag,S11_dB,S21_dB,S21_phase_unwrapped_rad,group_delay_s,Zin_real_ohm,Zin_imag_ohm,Vrx_50ohm_per_tx_inc_real,Vrx_50ohm_per_tx_inc_imag,Vrx_open_circuit_equivalent_per_tx_inc_real,Vrx_open_circuit_equivalent_per_tx_inc_imag
7.540000000000000000e+08,5.904360955694675228e-01,-5.378007448099563215e-01,-7.312252074469297036e-03,-5.801458515646343989e-02,-1.952852366509789661e+00,-2.466080433443577391e+01,-1.696176780823804187e+00,2.350267390028874132e-09,3.962555597832108134e+01,-1.176878387907912185e+02,-7.618369376791180557e-03,-5.798205177823645418e-02,-1.501316590695904729e-01,-8.600168400647482947e-02
7.560000000000000000e+08,5.827502713662410239e-01,-5.384819412914270131e-01,-9.209388428610363123e-03,-5.893424191048687172e-02,-2.009624042938918276e+00,-2.448787012781077266e+01,-1.725808193475564467e+00,2.366087093226650528e-09,3.991285724378998623e+01,-1.160371034253985840e+02,-9.521283145749827315e-03,-5.889157971542624548e-02,-1.537938819717105665e-01,-8.380576165377044695e-02
7.580000000000000000e+08,5.749413869781967446e-01,-5.390294580089389775e-01,-1.118331932399885265e-02,-5.980986422115878304e-02,-2.068312301994315927e+00,-2.431529977833539746e+01,-1.755643035462478574e+00,2.382684443511342218e-09,4.020240539076237951e+01,-1.143883506870409263e+02,-1.150076866305927564e-02,-5.975662923514907243e-02,-1.574571851615272633e-01,-8.149275472107689322e-02
7.600000000000000000e+08,5.670096797160709690e-01,-5.394370794804586033e-01,-1.323504747107456803e-02,-6.063738312587090007e-02,-2.128993386138054333e+00,-2.414307101886269535e+01,-1.785691585024028916e+00,2.400131068307179088e-09,4.049420515299775758e+01,-1.127413880883711670e+02,-1.355780926337126109e-02,-6.057312593975106019e-02,-1.611200294440798264e-01,-7.905981299520699335e-02
7.620000000000000000e+08,5.589555447311999048e-01,-5.396982661495947076e-01,-1.536549544029359136e-02,-6.141241013255314962e-02,-2.191748535242306506e+00,-2.397117521091737302e+01,-1.815964908517251120e+00,2.418480535819750992e-09,4.078828986600915840e+01,-1.110960177415887244e+02,-1.569330664220186522e-02,-6.133667550246695715e-02,-1.647805772444106143e-01,-7.650376003578122919e-02
7.640000000000000000e+08,5.507795813498473914e-01,-5.398061352525085344e-01,-1.757546118171587554e-02,-6.213021587344642882e-02,-2.256664175970863440e+00,-2.379961796218594827e+01,-1.846474630497477287e+00,2.437768066885417909e-09,4.108472172929452881e+01,-1.094520408599951935e+02,-1.790803610470970836e-02,-6.204254251978479073e-02,-1.684366276849823540e-01,-7.382113242675127085e-02
7.660000000000000000e+08,5.424826444854475849e-01,-5.397534475874334881e-01,-1.986556846903831525e-02,-6.278571452705355993e-02,-2.323832070434122876e+00,-2.362841945993545067e+01,-1.877232702517916074e+00,2.458010612422520332e-09,4.138359140648680778e+01,-1.078092621406658935e+02,-2.020259676573800400e-02,-6.268563518514164157e-02,-1.720855584863859589e-01,-7.100822844350919427e-02
7.680000000000000000e+08,5.340659003419458983e-01,-5.395326010278720386e-01,-2.223621304745812544e-02,-6.337345483855416628e-02,-2.393349422880002741e+00,-2.345761452916804757e+01,-1.908251175156936874e+00,2.479207278359393594e-09,4.168501700662786646e+01,-1.061674939378211207e+02,-2.257735748901172623e-02,-6.326049661008957548e-02,-1.757242759139999444e-01,-6.806116486394225840e-02
7.700000000000000000e+08,5.255308854998669288e-01,-5.391356315087789675e-01,-2.468750538443166900e-02,-6.388761845756733837e-02,-2.465318944015265856e+00,-2.328725242987792399e+01,-1.939541977497276637e+00,2.501340071201066321e-09,4.198914250114563629e+01,-1.045265601461869522e+02,-2.503239947235296955e-02,-6.376130350642914002e-02,-1.793491737634385352e-01,-6.497594050522856324e-02
7.720000000000000000e+08,5.168795683718382383e-01,-5.385542220869303787e-01,-2.721921102551228683e-02,-6.432202618470912736e-02,-2.539848873357067216e+00,-2.311739641280593105e+01,-1.971116707891455766e+00,2.524374929614632972e-09,4.229613564072880649e+01,-1.028862997247021411e+02,-2.756745648802456580e-02,-6.418187281424540813e-02,-1.829561021309553948e-01,-6.174850496130041694e-02
7.740000000000000000e+08,5.081144119279852323e-01,-5.377797205347853993e-01,-2.983068964202926707e-02,-6.467015257743252699e-02,-2.617052960772677572e+00,-2.294812305739866787e+01,-2.002986439367546723e+00,2.548263000994646814e-09,4.260618544396395180e+01,-1.012465698030497521e+02,-3.018185387085778326e-02,-6.451567671884968214e-02,-1.865403464582656989e-01,-5.837483095094737895e-02
7.760000000000000000e+08,4.992384365256288259e-01,-5.368031657742043938e-01,-3.252083392173517329e-02,-6.492514921385547644e-02,-2.697050409056791054e+00,-2.277952141913024420e+01,-2.035161542478172159e+00,2.572942117223464403e-09,4.291949933520047011e+01,-9.960724832636343251e+01,-3.287444741003942017e-02,-6.475586634703514588e-02,-1.900966170816034140e-01,-5.485098866439781784e-02
7.780000000000000000e+08,4.902552816333445307e-01,-5.356153232953133614e-01,-3.528800949648410595e-02,-6.507987675361073809e-02,-2.779965780003115672e+00,-2.261169201583397381e+01,-2.067651527796193545e+00,2.598338420971605869e-09,4.323630001256025679e+01,-9.796823620674712174e+01,-3.564356334211345873e-02,-6.489530427275116975e-02,-1.936190492596719659e-01,-5.117322051660576354e-02
7.800000000000000000e+08,4.811692652174747731e-01,-5.342067295396200066e-01,-3.812999712164683030e-02,-6.512694577019566278e-02,-2.865928866936304775e+00,-2.244474568417413352e+01,-2.100464909637089761e+00,2.624368092960816155e-09,4.355682212829920275e+01,-9.632945896358262416e+01,-3.848694066207732078e-02,-6.492660579729762904e-02,-1.971012134115972536e-01,-4.733801477661116891e-02
7.820000000000000000e+08,4.719854395601655317e-01,-5.325677450584135331e-01,-4.104393831996386993e-02,-6.505876616297229242e-02,-2.955074537067355234e+00,-2.227880233786599007e+01,-2.133609091965483540e+00,2.650939131568005224e-09,4.388130886288926291e+01,-9.469086784764623133e+01,-4.140167696607095077e-02,-6.484218880257103246e-02,-2.005361350709931045e-01,-4.334217664109574208e-02
7.840000000000000000e+08,4.627096423017618143e-01,-5.306886160904966676e-01,-4.402628567785028812e-02,-6.486760479195982643e-02,-3.047542547313849326e+00,-2.211398965878128209e+01,-2.167090276843870456e+00,2.677953138807875748e-09,4.421000847135263001e+01,-9.305244045644269590e+01,-4.438417901310049568e-02,-6.463433181082813006e-02,-2.039163238617454632e-01,-3.918289545227417875e-02
7.860000000000000000e+08,4.533485415467947699e-01,-5.285595440406432033e-01,-4.707275893525451199e-02,-6.454565081792477954e-02,-3.143477337374818603e+00,-2.195044175075098991e+01,-2.200913395225774671e+00,2.705307070837761095e-09,4.454317087569820899e+01,-9.141418085961872464e+01,-4.743011914493965725e-02,-6.429523972394893261e-02,-2.072338106302473726e-01,-3.485780692013006749e-02
7.880000000000000000e+08,4.439096739406357406e-01,-5.261707621847494520e-01,-5.017830794188428423e-02,-6.408508807697750609e-02,-3.243027803868090864e+00,-2.178829778382065996e+01,-2.235082059399459364e+00,2.732894916351954473e-09,4.488104437102114019e+01,-8.977611926350203930e+01,-5.053439863374442620e-02,-6.381711656221637774e-02,-2.104801917314705062e-01,-3.036504939035772344e-02
7.900000000000000000e+08,4.344014747123638998e-01,-5.235126187822911614e-01,-5.333708346413966461e-02,-6.347817367569980052e-02,-3.346347059218826470e+00,-2.162770065407799081e+01,-2.269598535963729180e+00,2.760609272221068348e-09,4.522387250520647228e+01,-8.813831125256183441e+01,-5.369111893717176676e-02,-6.319224437996620591e-02,-2.136466793648907347e-01,-2.570331339545978144e-02
7.920000000000000000e+08,4.248332987865641730e-01,-5.205756656440873043e-01,-5.654241672003995633e-02,-6.271732186237566342e-02,-3.453592178732871609e+00,-2.146879568111176440e+01,-2.304463737871790485e+00,2.788342792134010309e-09,4.557189118352486901e+01,-8.650083665268613231e+01,-5.689356173256227001e-02,-6.241306740569774192e-02,-2.167241567920188960e-01,-2.087188393018927016e-02
7.940000000000000000e+08,4.152154321909909407e-01,-5.173507510858236236e-01,-5.978680839567560024e-02,-6.179519211449994304e-02,-3.564923938894280386e+00,-2.131172936183771327e+01,-2.339677233815396384e+00,2.815989490469733035e-09,4.592532604006070329e+01,-8.486379806654905167e+01,-6.013417847693262180e-02,-6.147228033968046845e-02,-2.197032372397579869e-01,-1.587067509691263145e-02
7.960000000000000000e+08,4.055590931259901999e-01,-5.138291160974886029e-01,-6.306192775847084542e-02,-6.070478028450268515e-02,-3.680506549391478366e+00,-2.115664819598496038e+01,-2.375237273038557806e+00,2.843445889888957032e-09,4.628439010818762966e+01,-8.322731913495591982e+01,-6.340459010033783205e-02,-6.036291964482869143e-02,-2.225743253013703349e-01,-1.070025696499971035e-02
7.980000000000000000e+08,3.958764222127419963e-01,-5.100024924774778645e-01,-6.635862233222469819e-02,-5.943951156622508808e-02,-3.800507380699452042e+00,-2.100369759511762169e+01,-2.411140823563836744e+00,2.870612006939497841e-09,4.664928181254539652e+01,-8.159154257990947201e+01,-6.669559728906249152e-02,-5.907845658831131080e-02,-2.253276796865435472e-01,-5.361874675017823735e-03
8.000000000000000000e+08,3.861804615983814304e-01,-5.058632016192099456e-01,-6.966693843914090190e-02,-5.799333398560813785e-02,-3.925096688216474838e+00,-2.085302088377655139e+01,-2.447383621777018625e+00,2.897392175139899331e-09,4.702018329544880970e+01,-7.995662808538081379e+01,-6.999720165471454147e-02,-5.761289073347256040e-02,-2.279534762401769499e-01,1.425400116247879114e-04
8.020000000000000000e+08,3.764851227637070474e-01,-5.014042525985545895e-01,-7.297615274766269811e-02,-5.636081108123827677e-02,-4.054447332968137196e+00,-2.070475839826372777e+01,-2.483960231339742197e+00,2.923695709433582144e-09,4.739725908166811053e+01,-7.832275007045979009e+01,-7.329863791844415388e-02,-5.596084254507775052e-02,-2.304418702413313091e-01,5.810364368001077681e-03
8.040000000000000000e+08,3.668051430509282063e-01,-4.966194381930449375e-01,-7.627481479475606285e-02,-5.453721242456378848e-02,-4.188734497729146078e+00,-2.055904668581962369e+01,-2.520864109473727854e+00,2.949437419520760283e-09,4.778065507725552408e+01,-7.669009540695027738e+01,-7.658841706905744617e-02,-5.411764375636486657e-02,-2.327830571043492391e-01,1.163828708716819517e-02
8.060000000000000000e+08,3.571560311015121170e-01,-4.915034274688065974e-01,-7.955080028029218320e-02,-5.251860063595157474e-02,-4.328135396056684847e+00,-2.041601780450861270e+01,-2.558087678774854545e+00,2.974537982379137338e-09,4.817049789076202870e+01,-7.505886112971867874e+01,-7.985438028270074040e-02,-5.207942415406227599e-02,-2.349673307281291701e-01,1.762231682341012379e-02
8.080000000000000000e+08,3.475540015649103975e-01,-4.860518535984920119e-01,-8.279137476226711145e-02,-5.030191358119048134e-02,-4.472828970143474692e+00,-2.027579872205303957e+01,-2.595622402859858013e+00,2.998924186298108753e-09,4.856689445888353873e+01,-7.342925218347184568e+01,-8.308376322295510374e-02,-4.984319346727814765e-02,-2.369851388716446017e-01,2.375779624134628440e-02
8.100000000000000000e+08,3.380158996047188946e-01,-4.802613956225063041e-01,-8.598326721765946201e-02,-4.788504048302934940e-02,-4.622995571546714366e+00,-2.013851081014649225e+01,-2.633458864313630521e+00,3.022529060048745190e-09,4.896993195340670724e+01,-7.180147924432898776e+01,-8.626327017649745854e-02,-4.740691709743945909e-02,-2.388271350691143213e-01,3.003942087742705880e-02
8.120000000000000000e+08,3.285591158869610173e-01,-4.741298529357541591e-01,-8.911275277751741497e-02,-4.526689075296437548e-02,-4.778816616673099205e+00,-2.000426942942362984e+01,-2.671586843582342663e+00,3.045291901468931033e-09,4.937967794229265195e+01,-7.017575664881503883e+01,-8.937915732369329513e-02,-4.476958449831595216e-02,-2.404842267320906057e-01,3.646126209541513535e-02
8.140000000000000000e+08,3.192014928830289033e-01,-4.676562113716620783e-01,-9.216574379897113367e-02,-4.244745443853255307e-02,-4.940474206331760598e+00,-1.987318359924618960e+01,-2.709995397639159087e+00,3.067158219856521300e-09,4.979618077484611405e+01,-6.855230045695063268e+01,-9.241732429816880423e-02,-4.193126910636428561e-02,-2.419476192141674364e-01,4.301679341716121985e-02
8.160000000000000000e+08,3.099612234548660972e-01,-4.608406998627841422e-01,-9.512788830373160309e-02,-3.942785328921658700e-02,-5.108150695616623160e+00,-1.974535574575210362e+01,-2.748672937429534446e+00,3.088079606238119545e-09,5.021947015910716772e+01,-6.693132667013171044e+01,-9.536341305699853887e-02,-3.889317883054902586e-02,-2.432088557336761214e-01,4.969891952991288553e-02
8.180000000000000000e+08,3.008567428102066899e-01,-4.536848367810296656e-01,-9.798467469438479349e-02,-3.621038156789051221e-02,-5.282028196733143055e+00,-1.962088152117360451e+01,-2.787607303276425252e+00,3.108013544911089536e-09,5.064955789879986980e+01,-6.531304961867613201e+01,-9.820291296574233664e-02,-3.565769623556667295e-02,-2.442598531579507071e-01,5.650000730861154397e-02
8.200000000000000000e+08,2.919066150189219555e-01,-4.461914651982477609e-01,-1.007215415583244122e-01,-3.279853587234895368e-02,-5.462287993004300901e+00,-1.949984968722412759e+01,-2.826785837589134598e+00,3.126923178734854853e-09,5.108643875726738059e+01,-6.369768052837179084e+01,-1.009212709020656518e-01,-3.222840769084919788e-02,-2.450929337475416525e-01,6.341191824303536728e-02
8.220000000000000000e+08,2.831294153665347424e-01,-4.383647764572899952e-01,-1.033239912860557941e-01,-2.919703338058397130e-02,-5.649109836999073764e+00,-1.938234205534302390e+01,-2.866195454369651063e+00,3.144777039555490115e-09,5.153009141670883508e+01,-6.208542627025246219e+01,-1.035040050996209465e-01,-2.861012090753049797e-02,-2.457008530389500622e-01,7.042604172207368729e-02
8.240000000000000000e+08,2.745436098860963847e-01,-4.302103216021138099e-01,-1.057777061670894525e-01,-2.541181809151017365e-02,-5.842671099314875605e+00,-1.926843347673753826e+01,-2.905822705146298812e+00,3.161548753960490853e-09,5.198047950257389971e+01,-6.047648829318546149e+01,-1.059368213914865936e-01,-2.480887044413571454e-02,-2.460768241092851638e-01,7.753332869778653547e-02
8.260000000000000000e+08,2.661674334542881160e-01,-4.217350103803934602e-01,-1.080686655836179122e-01,-2.145005479720019093e-02,-6.043145726750295488e+00,-1.915819187543648638e+01,-2.945653841084915125e+00,3.177216733329499600e-09,5.243755264505064417e+01,-5.887106173477712900e+01,-1.082057304706131873e-01,-2.083191092650451409e-02,-2.462145385157444299e-01,8.472432532722617982e-02
8.280000000000000000e+08,2.580187678611258195e-01,-4.129470977007056454e-01,-1.101832629001440328e-01,-1.732011069063647130e-02,-6.250702959114139645e+00,-1.905167831794107514e+01,-2.985674871132621089e+00,3.191763855929208850e-09,5.290124755206853990e+01,-5.726933470259972836e+01,-1.102971647639153646e-01,-1.668769789562684139e-02,-2.461081842372694339e-01,9.198920626760861974e-02
8.300000000000000000e+08,2.501150212648318161e-01,-4.038561575958504735e-01,-1.121084206463898170e-01,-1.303152468174971490e-02,-6.465505742358161001e+00,-1.894894711349556360e+01,-3.025871616139161890e+00,3.205177147622187243e-09,5.337148907102348261e+01,-5.567148771482268899e+01,-1.121980935170256710e-01,-1.238585636590120234e-02,-2.457524609659343107e-01,9.931780737793197145e-02
8.320000000000000000e+08,2.424730104245886031e-01,-3.944730449115896320e-01,-1.138317026109315622e-01,-8.594964661417231824e-03,-6.687708761651737888e+00,-1.885004593948222862e+01,-3.066229758976012576e+00,3.217447466653242947e-09,5.384819121940141429e+01,-5.407769328699308176e+01,-1.138961347080531122e-01,-7.937137343138953374e-03,-2.451425931026321725e-01,1.066996576554238990e-01
8.340000000000000000e+08,2.351088470644822070e-01,-3.848098451032715972e-01,-1.153414215035438312e-01,-4.022173115441876091e-03,-6.917456000931814231e+00,-1.875501598695049665e+01,-3.106734890735550980e+00,3.228569196958910495e-09,5.433125816754901649e+01,-5.248811564992505652e+01,-1.153796624503952845e-01,-3.353362713742177263e-03,-2.442743408066379296e-01,1.141240103065759293e-01
8.360000000000000000e+08,2.280378296629003987e-01,-3.748798126789959495e-01,-1.166267409042809067e-01,6.740983541553368210e-04,-7.154877714789904530e+00,-1.866389212180380497e+01,-3.147372553142192775e+00,3.238539953522156400e-09,5.482058515992320480e+01,-5.090291058238697275e+01,-1.166379086058246251e-01,1.352640928593508516e-03,-2.431440094330781787e-01,1.215798729185069288e-01
8.380000000000000000e+08,2.212743418842028631e-01,-3.646972989747548355e-01,-1.176777702956969401e-01,5.480164897330085279e-03,-7.400086673688285543e+00,-1.857670305767583585e+01,-3.188128277346289341e+00,3.247360302476270976e-09,5.531605936418399949e+01,-4.932222534148410631e+01,-1.176610574084887006e-01,6.167118806956421034e-03,-2.417484576676130203e-01,1.290560367559634714e-01
8.400000000000000000e+08,2.148317587751155111e-01,-3.542776700820793878e-01,-1.184856520697774446e-01,1.038149383621797539e-02,-7.653173513820815899e+00,-1.849347153702257529e+01,-3.228987619300740075e+00,3.255033497941737191e-09,5.581756064043629095e+01,-4.774619867326694589e+01,-1.184403319966010198e-01,1.107547399074561810e-02,-2.400851046352198703e-01,1.365411052614941279e-01
