frequency_Hz,V_G3_real_V,V_G3_imag_V,H_V_real,H_V_imag,V_rx_real_V,V_rx_imag_V,V_G3_magnitude_V,H_V_magnitude,V_rx_magnitude_V,phase_source_rad,phase_transfer_rad,phase_received_rad
2.871410736579e+08,4.642035206111e+00,-1.470039042632e+00,-3.108026230714e-02,-1.331197451106e-02,-1.638447941107e-01,-1.610545529646e-02,4.869240766448e+00,3.381111312074e-02,1.646344503665e-01,-3.066883070264e-01,-2.736922093863e+00,-3.043610400889e+00
2.933832709114e+08,4.602875484627e+00,-1.518234400536e+00,-4.168015955905e-02,-4.307875206764e-03,-1.983889489618e-01,4.345163888233e-02,4.846802907273e+00,4.190218955693e-02,2.030916541656e-01,-3.186075673978e-01,-3.038602804443e+00,2.925974935339e+00
2.996254681648e+08,4.562281734353e+00,-1.563776814178e+00,-5.008019709228e-02,1.185719721383e-02,-2.099379583628e-01,1.324101253316e-01,4.822842787006e+00,5.146473808900e-02,2.482063408777e-01,-3.302122176697e-01,2.909109491509e+00,2.578897273839e+00
3.058676654182e+08,4.520800601394e+00,-1.606340686472e+00,-5.122634854156e-02,3.511987550312e-02,-1.751696223694e-01,2.410569221771e-01,4.797704500965e+00,6.210913330788e-02,2.979812684222e-01,-3.414082843418e-01,2.540608709570e+00,2.199200425228e+00
3.121098626717e+08,4.479073057113e+00,-1.645832702941e+00,-3.944184017624e-02,6.151063519456e-02,-7.542666867444e-02,3.404252992521e-01,4.771882305446e+00,7.306994593214e-02,3.486811820535e-01,-3.521345891247e-01,2.140974424883e+00,1.788839835758e+00
3.183520599251e+08,4.437734923932e+00,-1.682405291242e+00,-1.179428811273e-02,8.222758129903e-02,8.600019360273e-02,3.847469819685e-01,4.745943406646e+00,8.306912999649e-02,3.942413898027e-01,-3.623721544906e-01,1.713259337493e+00,1.350887183003e+00
3.245942571785e+08,4.397322379605e+00,-1.716430874291e+00,2.728798563770e-02,8.613594992907e-02,2.678404737837e-01,3.319295992659e-01,4.720442675893e+00,9.035505536685e-02,4.265158593364e-01,-3.721472174622e-01,1.263997599260e+00,8.918503817978e-01
3.308364544320e+08,4.358196760619e+00,-1.748442729700e+00,6.456920261357e-02,6.720756275211e-02,3.989138641410e-01,1.800082294031e-01,4.695841882274e+00,9.319891854110e-02,4.376473850679e-01,-3.815274247151e-01,8.054169252796e-01,4.238895005645e-01
3.370786516854e+08,4.320499369200e+00,-1.779053082688e+00,8.528554854421e-02,3.160260007810e-02,4.246988617771e-01,-1.518850434383e-02,4.672445255997e+00,9.095245528397e-02,4.249703682128e-01,-3.906117795823e-01,3.548640172272e-01,-3.574776235510e-02
3.433208489388e+08,4.284141924658e+00,-1.808862039845e+00,8.429124352711e-02,-5.962722731413e-03,3.503299074730e-01,-1.780163811462e-01,4.650360621479e+00,8.450188043894e-02,3.929642172342e-01,-3.995159132048e-01,-7.062188498246e-02,-4.701377981873e-01
3.495630461923e+08,4.248832616652e+00,-1.838371756921e+00,6.785950007793e-02,-3.362215781167e-02,2.265136319531e-01,-2.676059091345e-01,4.629491259412e+00,7.573216784656e-02,3.506014091019e-01,-4.083550462244e-01,-4.600148137859e-01,-8.683698600103e-01
3.558052434457e+08,4.214132296345e+00,-1.867918808603e+00,4.582133716759e-02,-4.804622579590e-02,1.033507279731e-01,-2.880636893746e-01,4.609558730142e+00,6.639303241347e-02,3.060425821821e-01,-4.172273907336e-01,-8.090961485950e-01,-1.226323539329e+00
3.620474406991e+08,4.179530983271e+00,-1.897634404992e+00,2.516663942214e-02,-5.188167901473e-02,6.732290122516e-03,-2.645981657317e-01,4.590152020917e+00,5.766340570233e-02,2.646837982175e-01,-4.262006057512e-01,-1.119157759639e+00,-1.545358365390e+00
3.682896379526e+08,4.144532178768e+00,-1.927437460261e+00,8.799740628134e-03,-4.932765721364e-02,-5.860516614238e-02,-2.214010123524e-01,4.570794476243e+00,5.010641876355e-02,2.290261421088e-01,-4.353033000529e-01,-1.394259764516e+00,-1.829563064569e+00
3.745318352060e+08,4.108731793146e+00,-1.957060316404e+00,-3.090132248684e-03,-4.377489887992e-02,-9.836664206769e-02,-1.738117435734e-01,4.551017691687e+00,4.388383175227e-02,1.997160946836e-01,-4.445226421380e-01,-1.641270839753e+00,-2.085793481890e+00
3.807740324594e+08,4.071879832576e+00,-1.986101964165e+00,-1.138750274118e-02,-3.717070794062e-02,-1.201933588055e-01,-1.287379144648e-01,4.530431147584e+00,3.887591474792e-02,1.761246550648e-01,-4.538081174910e-01,-1.868074885127e+00,-2.321883002618e+00
3.870162297129e+08,4.033916069574e+00,-2.014099619570e+00,-1.704515961846e-02,-3.036213608947e-02,-1.299111100405e-01,-8.814765917486e-02,4.508777676258e+00,3.481948842724e-02,1.569933321194e-01,-4.630805718538e-01,-2.082346190316e+00,-2.545426762169e+00
3.932584269663e+08,3.994975206121e+00,-2.040607067911e+00,-2.066030335115e-02,-2.367004770252e-02,-1.308386662783e-01,-5.240169265571e-02,4.485967465679e+00,3.141845465330e-02,1.409421653966e-01,-4.722450179748e-01,-2.288404984282e+00,-2.760650002257e+00
3.995006242197e+08,3.955361839690e+00,-2.065267585539e+00,-2.257558771588e-02,-1.732899367533e-02,-1.250836270876e-01,-2.191781076955e-02,4.462086673604e+00,2.845964129284e-02,1.269893861483e-01,-4.812052958512e-01,-2.486923135639e+00,-2.968128431491e+00
4.057428214732e+08,3.915500118243e+00,-2.087870513641e+00,-2.309592550889e-02,-1.161189417399e-02,-1.146762305144e-01,2.754928843982e-03,4.437380359817e+00,2.585068396426e-02,1.147093173109e-01,-4.898785404830e-01,-2.675733031680e+00,3.117573735016e+00
4.119850187266e+08,3.875866640658e+00,-2.108383427749e+00,-2.263131310079e-02,-6.708393945465e-03,-1.018598181031e-01,2.171464518429e-02,4.412212924891e+00,2.360463687485e-02,1.041486839066e-01,-4.982074922144e-01,-2.853422673250e+00,2.931555141715e+00
4.182272159800e+08,3.836917405037e+00,-2.126955831821e+00,-2.159912401308e-02,-2.603132767907e-03,-8.841080328103e-02,3.595237735703e-02,4.387012227426e+00,2.175542365342e-02,9.544130958039e-02,-5.061689652726e-01,-3.021650851439e+00,2.755365490468e+00
4.244694132335e+08,3.799020141758e+00,-2.143894766815e+00,-2.025960267334e-02,9.009318356673e-04,-7.503513557231e-02,4.685711433918e-02,4.362205727458e+00,2.027962471680e-02,8.846389509032e-02,-5.137772698638e-01,3.097152558587e+00,2.583375288723e+00
4.307116104869e+08,3.762402170627e+00,-2.159616972797e+00,-1.863988505591e-02,3.990523408864e-03,-6.151274191046e-02,5.526896607317e-02,4.338158084111e+00,1.906225568956e-02,8.269507862105e-02,-5.210820540448e-01,2.930691045170e+00,2.409608991125e+00
4.369538077403e+08,3.727121231649e+00,-2.174585648414e+00,-1.665891858751e-02,6.680817422021e-03,-4.756179947823e-02,6.112646173689e-02,4.315119397849e+00,1.794861805075e-02,7.745042991539e-02,-5.281608432673e-01,2.760193939645e+00,2.232033096377e+00
4.431960049938e+08,3.693063012154e+00,-2.189241928040e+00,-1.433098280444e-02,8.824638319135e-03,-3.360595431485e-02,6.396393379753e-02,4.293191660202e+00,1.683007158644e-02,7.225472297550e-02,-5.351073951109e-01,2.589655710204e+00,2.054548315093e+00
4.494382022472e+08,3.659964924510e+00,-2.203941676277e+00,-1.186150734338e-02,1.030164746673e-02,-2.070847064237e-02,6.384573877044e-02,4.272318124984e+00,1.571048366493e-02,6.712018411394e-02,-5.420176912581e-01,2.426459393983e+00,1.884441702725e+00
4.556803995006e+08,3.627461720565e+00,-2.218907061544e+00,-9.526618542633e-03,1.119059273401e-02,-9.726558849454e-03,6.173212792995e-02,4.252296683197e+00,1.469645625977e-02,6.249369220819e-02,-5.489757926781e-01,2.276048092736e+00,1.727072300058e+00
4.619225967541e+08,3.595145352489e+00,-2.234199838157e+00,-7.448646447586e-03,1.175408208463e-02,-5.179983672118e-04,5.889939826702e-02,4.232814550904e+00,1.391548703975e-02,5.890167602476e-02,-5.560417820326e-01,2.135632511285e+00,1.579590729253e+00
4.681647940075e+08,3.562629558294e+00,-2.249719764703e+00,-5.495494619470e-03,1.221396965999e-02,7.899597380787e-03,5.587717219704e-02,4.213498355206e+00,1.339333849224e-02,5.643280970779e-02,-5.632436094983e-01,1.993596346028e+00,1.430352736530e+00
4.744069912609e+08,3.529609216697e+00,-2.265227673078e+00,-3.434982490590e-03,1.253771546261e-02,1.627663416511e-02,5.203425344739e-02,4.193971582339e+00,1.299974667954e-02,5.452056815159e-02,-5.705739510097e-01,1.838206526959e+00,1.267632575949e+00
4.806491885144e+08,3.495905599965e+00,-2.280388979175e+00,-1.222793772909e-03,1.246740063947e-02,2.415575141889e-02,4.637330115608e-02,4.173910619577e+00,1.252722249009e-02,5.228750698517e-02,-5.779923511593e-01,1.668562924418e+00,1.090570573259e+00
4.868913857678e+08,3.461491046407e+00,-2.294830448338e+00,8.683088573865e-04,1.181160507523e-02,3.011127430573e-02,3.889314360709e-02,4.153091264465e+00,1.184347815149e-02,4.918704565185e-02,-5.854321268220e-01,1.497415127926e+00,9.119830011040e-01
4.931335830212e+08,3.426489877205e+00,-2.308201223074e+00,2.458800098970e-03,1.073113336708e-02,3.319466881205e-02,3.109471445749e-02,4.131419340225e+00,1.100921983016e-02,4.548370372710e-02,-5.928108727425e-01,1.345556553230e+00,7.527456804878e-01
4.993757802747e+08,3.391156071383e+00,-2.320228725438e+00,3.464182133498e-03,9.693236955981e-03,3.423810910213e-02,2.483358445834e-02,4.108941571600e+00,1.029365826802e-02,4.229604038133e-02,-6.000429916131e-01,1.227560886104e+00,6.275178944909e-01
