pathway,frequency_Hz,source_normalized_shape,receiver_normalized_shape,source_unit,receiver_unit,absolute_cross_path_comparison_permitted
POST_BREAKDOWN_G3,337078651.6854,0.9088807141803874,0.9710337196392685,V,V,False
POST_BREAKDOWN_G3,343320848.9388,0.9045848268468236,0.8979014399302018,V,V,False
POST_BREAKDOWN_G3,349563046.1923,0.9005253334421787,0.801104773075703,V,V,False
POST_BREAKDOWN_G3,355805243.4457,0.896648072084284,0.6992903250972721,V,V,False
POST_BREAKDOWN_G3,362047440.6991,0.8928730928659383,0.6047877977758592,V,V,False
POST_BREAKDOWN_G3,368289637.9526,0.8891076771010137,0.5233120313818184,V,V,False
POST_BREAKDOWN_G3,374531835.206,0.8852607110935026,0.4563401987485958,V,V,False
POST_BREAKDOWN_G3,380774032.4594,0.8812562312372143,0.40243506776005206,V,V,False
POST_BREAKDOWN_G3,387016229.7129,0.8770442134595179,0.3587210559822853,V,V,False
POST_BREAKDOWN_G3,393258426.9663,0.8726071875885801,0.32204503032662035,V,V,False
POST_BREAKDOWN_G3,399500624.2197,0.867961912969589,0.29016370365973354,V,V,False
POST_BREAKDOWN_G3,405742821.4732,0.863156058456828,0.2621044275018054,V,V,False
POST_BREAKDOWN_G3,411985018.7266,0.8582605069892358,0.2379739659370886,V,V,False
POST_BREAKDOWN_G3,418227215.98,0.8533584853166869,0.2180780985714934,V,V,False
POST_BREAKDOWN_G3,424469413.2335,0.8485331426591298,0.20213509347621147,V,V,False
POST_BREAKDOWN_G3,430711610.4869,0.8438554122499059,0.18895366782145068,V,V,False
POST_BREAKDOWN_G3,436953807.7403,0.8393739434524606,0.17696993643268297,V,V,False
POST_BREAKDOWN_G3,443196004.9938,0.8351085755858597,0.1650980342640397,V,V,False
POST_BREAKDOWN_G3,449438202.2472,0.8310482704230961,0.15336589776157578,V,V,False
POST_BREAKDOWN_G3,455680399.5006,0.8271537138657822,0.14279462037342155,V,V,False
POST_BREAKDOWN_G3,461922596.7541,0.8233640634059497,0.13458706263176484,V,V,False
POST_BREAKDOWN_G3,468164794.0075,0.8196066908142726,0.1289458400375078,V,V,False
POST_BREAKDOWN_G3,474406991.2609,0.815808356902064,0.12457647414740984,V,V,False
POST_BREAKDOWN_G3,480649188.5144,0.8119061127526718,0.1194740532427873,V,V,False
POST_BREAKDOWN_G3,486891385.7678,0.8078563466654509,0.11238967106867744,V,V,False
POST_BREAKDOWN_G3,493133583.0212,0.803640739440261,0.10392774018299139,V,V,False
POST_BREAKDOWN_G3,499375780.2747,0.7992683799407181,0.09664410624724314,V,V,False
NATIVE_STAGE4,3771036549.883574,1.0,1.0,V_s_per_m,V_s,False
NATIVE_STAGE4,4713795687.354467,0.4641137273710321,0.5820062616129434,V_s_per_m,V_s,False
NATIVE_STAGE4,5656554824.825361,0.18284677004461827,0.2763459513730997,V_s_per_m,V_s,False
NATIVE_STAGE4,6599313962.296254,0.3121537612523191,0.5531869240613151,V_s_per_m,V_s,False
NATIVE_STAGE4,7542073099.767148,0.26158079299330245,0.5329044374580204,V_s_per_m,V_s,False
NATIVE_STAGE5,3936061094.1996818,1.0,1.0,V_s_per_m,V_s,False
NATIVE_STAGE5,4920076367.749602,0.5381659339386442,0.6751580469017506,V_s_per_m,V_s,False
NATIVE_STAGE5,5904091641.299522,0.36484306575351877,0.551850459854523,V_s_per_m,V_s,False
NATIVE_STAGE5,6888106914.849443,0.3270301222061738,0.5802766659857611,V_s_per_m,V_s,False
NATIVE_STAGE5,7872122188.3993635,0.2842449781511864,0.5801273397901461,V_s_per_m,V_s,False
NATIVE_STAGE5,8856137461.949284,0.21949661016609287,0.5076710354395024,V_s_per_m,V_s,False
NATIVE_STAGE5,9840152735.499205,0.13883412882085627,0.3596668426557458,V_s_per_m,V_s,False
