"parameter_id","symbol","canonical_name","description","model_module","case_scope","value_original","unit_original","value_SI","unit_SI","conversion_expression","source_id","source_location","provenance_type","confidence","implementation_status","uncertainty_or_range","notes"
"PAR-0020","E0/Ek","case_IV_field_ratio","field ratio","gas","Case IV","2","1","2","1","identity","SRC-0001","PDF pp.3-4, printed pp.445-446","direct","high","frozen","",""
"PAR-0021","alpha","growth_rate","growth rate","lifecycle_model","Case I","1700000000.0","s^-1","1700000000.0","s^-1","SI conversion","SRC-0001","PDF p.5, printed p.447","direct","high","frozen","",""
"PAR-0022","beta","decay_rate","decay rate","lifecycle_model","Case I","75000000.0","s^-1","75000000.0","s^-1","SI conversion","SRC-0001","PDF p.5, printed p.447","direct","high","frozen","",""
"PAR-0023","I_CM0","current_moment_scale","current moment scale","lifecycle_model","Case I","0.44","A m","0.44","A m","SI conversion","SRC-0001","PDF p.5, printed p.447; Figure 3 caption gives 0.4","direct","medium","provisional","0.40-0.44 A m","paper internal conflict"
"PAR-0024","T0","peak_time","peak time","lifecycle_model","Case I","6","ns","6e-09","s","SI conversion","SRC-0001","PDF p.5, printed p.447","derived","high","frozen","",""
"PAR-0025","l_c","collision_scale","collision scale","streamer_collision","Case I","~0.1","mm","0.0001","m","SI conversion","SRC-0001","PDF p.3, printed p.445, Figure 1","derived","medium","provisional","",""
"PAR-0026","dt_c","collapse_time","collapse time","streamer_collision","Case I","~10","ps","1e-11","s","SI conversion","SRC-0001","PDF pp.3-4, Figure 1/Section 3","derived","medium","provisional","",""
"PAR-0027","Emax/Ek","max_collision_field","max collision field","streamer_collision","Case I","~10","1","10","1","SI conversion","SRC-0001","PDF p.4, printed p.446","direct","medium","provisional","",""
"PAR-0028","[t1,t2]","fft_window","FFT window","fourier_transform","Case I","1-3","ns","","","","SRC-0001","PDF pp.5,7, printed pp.447,449","direct","high","frozen","2 ns duration",""
"PAR-0029","df","fft_resolution","frequency resolution","fourier_transform","Case I","0.5","GHz","500000000.0","Hz",".5*1e9","SRC-0001","PDF p.5, printed p.447","derived","high","frozen","",""
"PAR-0030","domain","figure1_domain","figure1 domain","computational_domain","Case I","","","","","","SRC-0001","PDF p.3, printed p.445, Figure 1 coordinate inference","inferred_from_figure","low","provisional","","requires digitization and sensitivity check"
"PAR-0031","(r,z)","figure1_seed_centers","figure1 seed centers","initial_condition","Case I","","","","","","SRC-0001","PDF p.3, printed p.445, Figure 1 coordinate inference","inferred_from_figure","low","provisional","","requires digitization and sensitivity check"
"PAR-0032","VHF","vhf_context","paper band context","validation","terminology","30-300","MHz","3e7-3e8","Hz","endpoints converted","SRC-0001","PDF pp.5-6, Figure 4 discussion","derived","high","not_required_yet","",""
"PAR-0033","UHF","uhf_context","paper band context","validation","terminology","0.3-3","GHz","3e8-3e9","Hz","endpoints converted","SRC-0001","PDF pp.5-6, Figure 4 discussion","derived","high","not_required_yet","",""
"PAR-0034","SHF","shf_context","paper band context","validation","terminology","3-30","GHz","3e9-3e10","Hz","endpoints converted","SRC-0001","PDF pp.5-6, Figure 4 discussion","derived","high","not_required_yet","",""
"PAR-0035","[I_CM]","current_moment_unit","unit","current_moment","global","1","A m","1","A m","identity","SRC-0001","PDF pp.5,7","direct","high","frozen","",""
"PAR-0036","[W]","radiated_energy_unit","unit","esd","global","1","J","1","J","identity","SRC-0001","PDF p.6, Eq.(6)","direct","high","frozen","",""
"PAR-0037","p","air_pressure","air pressure","photoionization","ground air","760","Torr","101325","Pa","760*Torr","SRC-0003","PDF p.9, printed p.664","derived","high","frozen","",""
"PAR-0038","pO2","oxygen_pressure","oxygen pressure","photoionization","ground air","150","Torr","19998.355263","Pa","150*Torr","SRC-0003","PDF pp.1,3","derived","high","frozen","",""
"PAR-0039","pq","quenching_pressure","quenching pressure","photoionization","ground air","30","Torr","3999.671053","Pa","30*Torr","SRC-0003","PDF p.9, printed p.664","derived","high","frozen","",""
"PAR-0040","chi_min","minimum_absorption","minimum absorption","photoionization","ground air","0.035","Torr^-1 cm^-1","26.251224","Pa^-1 m^-1",".035/(Torr*cm)","SRC-0003","PDF p.3, Eq.(3)","derived","high","frozen","",""
"PAR-0041","chi_max","maximum_absorption","maximum absorption","photoionization","ground air","2","Torr^-1 cm^-1","1500.069931","Pa^-1 m^-1","2/(Torr*cm)","SRC-0003","PDF p.3, Eq.(3)","derived","high","frozen","",""
"PAR-0042","A1","sp3_A1","SP3 Table 3 amplitude","photoionization","SP3","0.0067","cm^-1 Torr^-1","0.005025413274117938","m^-1 Pa^-1","A/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","","not Helmholtz Table 2"
"PAR-0043","lambda1","sp3_lambda1","SP3 absorption parameter","photoionization","SP3","0.0447","cm^-1 Torr^-1","0.03352775721687638","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","",""
"PAR-0044","A2","sp3_A2","SP3 Table 3 amplitude","photoionization","SP3","0.0346","cm^-1 Torr^-1","0.025952134221564272","m^-1 Pa^-1","A/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","","not Helmholtz Table 2"
"PAR-0045","lambda2","sp3_lambda2","SP3 absorption parameter","photoionization","SP3","0.1121","cm^-1 Torr^-1","0.08408191463113744","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","",""
"PAR-0046","A3","sp3_A3","SP3 Table 3 amplitude","photoionization","SP3","0.3059","cm^-1 Torr^-1","0.22944386873920553","m^-1 Pa^-1","A/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","","not Helmholtz Table 2"
"PAR-0047","lambda3","sp3_lambda3","SP3 absorption parameter","photoionization","SP3","0.5994","cm^-1 Torr^-1","0.4495869726128794","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.6, printed p.661, Table 3","derived","high","frozen","",""
"PAR-0048","AH1","helmholtz_A1","Helmholtz Table 2 amplitude","validation","Helmholtz","0.0001986","cm^-2 Torr^-2","0.00011173087603319671","m^-2 Pa^-2","A/(cm^2*Torr^2)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","","never substitute for SP3 A_j"
"PAR-0049","lambdaH1","helmholtz_lambda1","Helmholtz decay","validation","Helmholtz","0.0553","cm^-1 Torr^-1","0.04147841105354059","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","",""
"PAR-0050","AH2","helmholtz_A2","Helmholtz Table 2 amplitude","validation","Helmholtz","0.0051","cm^-2 Torr^-2","0.0028692218920911543","m^-2 Pa^-2","A/(cm^2*Torr^2)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","","never substitute for SP3 A_j"
"PAR-0051","lambdaH2","helmholtz_lambda2","Helmholtz decay","validation","Helmholtz","0.146","cm^-1 Torr^-1","0.10950900567480878","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","",""
"PAR-0052","AH3","helmholtz_A3","Helmholtz Table 2 amplitude","validation","Helmholtz","0.4886","cm^-2 Torr^-2","0.27488270911288976","m^-2 Pa^-2","A/(cm^2*Torr^2)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","","never substitute for SP3 A_j"
"PAR-0053","lambdaH3","helmholtz_lambda3","Helmholtz decay","validation","Helmholtz","0.89","cm^-1 Torr^-1","0.667554897606711","m^-1 Pa^-1","lambda/(cm*Torr)","SRC-0003","PDF p.5, printed p.660, Table 2","derived","high","not_required_yet","",""
"PAR-0054","kappa1^2","sp3_kappa1_squared","sp3 kappa1 squared","photoionization","SP3","3/7-(2/7)*sqrt(6/5)","1","0.11558710999704797","1","3/7-(2/7)*sqrt(6/5)","SRC-0003","PDF p.7, printed p.662, Eqs.(17)-(19)","derived","high","frozen","",""
"PAR-0055","kappa2^2","sp3_kappa2_squared","sp3 kappa2 squared","photoionization","SP3","3/7+(2/7)*sqrt(6/5)","1","0.7415557471458092","1","3/7+(2/7)*sqrt(6/5)","SRC-0003","PDF p.7, printed p.662, Eqs.(17)-(19)","derived","high","frozen","",""
"PAR-0056","gamma1","sp3_gamma1","sp3 gamma1","photoionization","SP3","(5/7)*(1-3*sqrt(6/5))","1","-1.6330966750221403","1","(5/7)*(1-3*sqrt(6/5))","SRC-0003","PDF p.7, printed p.662, Eqs.(17)-(19)","derived","high","frozen","",""
"PAR-0057","gamma2","sp3_gamma2","sp3 gamma2","photoionization","SP3","(5/7)*(1+3*sqrt(6/5))","1","3.0616681035935693","1","(5/7)*(1+3*sqrt(6/5))","SRC-0003","PDF p.7, printed p.662, Eqs.(17)-(19)","derived","high","frozen","",""
"PAR-0058","pO2R","sp3_validity","fit validity","photoionization","SP3","0.1 < pO2R < 150","Torr cm","","","","SRC-0003","PDF pp.1,6","direct","high","frozen","",""
"PAR-0059","pq/(p+pq)","quenching_factor","source quenching","photoionization","SP3","pq/(p+pq)","1","pq/(p+pq)","1","dimensionless symbolic expression","SRC-0003","PDF p.3, Eq.(2)","direct","high","frozen","",""
"PAR-0060","BC","sp3_boundary_treatment","open-boundary treatment","photoionization","SP3","","","","","","SRC-0003","PDF pp.7-9, Eqs.(23)-(27)","direct","high","provisional","","code realization unresolved"
"PAR-0061","p","liu_pressure","pressure","validation","Liu2007 SP3","760","Torr","101325","Pa","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0062","E0","liu_background_field","background field","validation","Liu2007 SP3","1000000.0","V/m","1000000.0","V/m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","direct","high","not_required_yet","",""
"PAR-0063","b","liu_sphere_radius","sphere radius","validation","Liu2007 SP3","0.1","cm","0.001","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0064","Phi0","liu_sphere_potential","sphere potential","validation","Liu2007 SP3","6500","V","6500","V","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","direct","high","not_required_yet","",""
"PAR-0065","n0","liu_peak_density","peak density","validation","Liu2007 SP3","1e+18","m^-3","1e+18","m^-3","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","direct","high","not_required_yet","",""
"PAR-0066","sigma_r","liu_radial_width","radial width","validation","Liu2007 SP3","0.01","cm","0.0001","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0067","sigma_z","liu_axial_width","axial width","validation","Liu2007 SP3","0.01","cm","0.0001","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0068","z0","liu_seed_position","seed position","validation","Liu2007 SP3","0.02","cm","0.0002","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0069","Lz","liu_domain_axial","domain axial","validation","Liu2007 SP3","1","cm","0.01","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0070","Lr","liu_domain_radial","domain radial","validation","Liu2007 SP3","0.125","cm","0.00125","m","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0071","Nz","liu_axial_points","axial points","validation","Liu2007 SP3","1601","1","1601","1","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","direct","high","not_required_yet","",""
"PAR-0072","Nr","liu_radial_points","radial points","validation","Liu2007 SP3","201","1","201","1","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","direct","high","not_required_yet","",""
"PAR-0073","t_range","liu_output_time_range","output time range","validation","Liu2007 SP3","0-17.5","ns","","","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0074","dt_out","liu_output_interval","output interval","validation","Liu2007 SP3","2.5","ns","2.5e-09","s","SI conversion","SRC-0004","PDF p.2, printed p.211501-2, setup/Figs.2-3","derived","high","not_required_yet","",""
"PAR-0075","alpha1","bc_alpha1","SP3 boundary coefficient","validation","Liu2007 SP3","(5/96)*(34+11*sqrt(6/5))","1","2.398432097141336","1","(5/96)*(34+11*sqrt(6/5))","SRC-0004","PDF p.2, Eqs.(1)-(2)","derived","high","not_required_yet","",""
"PAR-0076","alpha2","bc_alpha2","SP3 boundary coefficient","validation","Liu2007 SP3","(5/96)*(34-11*sqrt(6/5))","1","1.1432345695253308","1","(5/96)*(34-11*sqrt(6/5))","SRC-0004","PDF p.2, Eqs.(1)-(2)","derived","high","not_required_yet","",""
"PAR-0077","beta1","bc_beta1","SP3 boundary coefficient","validation","Liu2007 SP3","(5/96)*(2+sqrt(6/5))","1","0.16122109974012147","1","(5/96)*(2+sqrt(6/5))","SRC-0004","PDF p.2, Eqs.(1)-(2)","derived","high","not_required_yet","",""
"PAR-0078","beta2","bc_beta2","SP3 boundary coefficient","validation","Liu2007 SP3","(5/96)*(2-sqrt(6/5))","1","0.04711223359321187","1","(5/96)*(2-sqrt(6/5))","SRC-0004","PDF p.2, Eqs.(1)-(2)","derived","high","not_required_yet","",""
"PAR-0079","epsilon","epsilon_range","recommended epsilon 0.01-0.04","numerical_flux","global","","","","","","SRC-0005","PDF pp.4,6, Eq.(21)/discussion","direct","high","provisional","",""
"PAR-0080","hv","virtual_width","sqrt(2 epsilon D h/|Delta W|)","numerical_flux","global","","","","","","SRC-0005","PDF p.4, printed p.152, Eq.(21)","direct","high","provisional","",""
"PAR-0081","xLR","virtual_locations","midpoint plus/minus hv/2","numerical_flux","global","","","","","","SRC-0005","PDF p.4, Eq.(22)","direct","high","provisional","",""
"PAR-0082","n(x)","exponential_interpolation","Eq.(20)","numerical_flux","global","","","","","","SRC-0005","PDF p.3, printed p.151, Eq.(20)","direct","high","provisional","",""
"PAR-0083","j","isg0_flux","Eqs.(24)-(25)","numerical_flux","global","","","","","","SRC-0005","PDF p.4, printed p.152","direct","high","provisional","",""
"PAR-0084","jlim","zero_width_limit","Eq.(31)","numerical_flux","global","","","","","","SRC-0005","PDF pp.4-5","direct","high","provisional","",""
"PAR-0085","fallback","ordinary_sg_fallback","hv>=h uses ordinary SG","numerical_flux","global","","","","","","SRC-0005","PDF p.4, text after Eq.(21)","direct","high","provisional","",""
"PAR-0086","small_alpha","small_alpha_treatment","small nonzero field when adjacent W vanish","numerical_flux","global","","","","","","SRC-0005","PDF p.4, text after Eq.(30)","direct","high","provisional","",""
"PAR-0087","epsilon","epsilon_baseline","researcher baseline","numerical_flux","baseline","0.01","1","0.01","1","researcher choice","SRC-0005","PDF pp.4,6","assumption","medium","provisional","","not a Shi direct value"
"PAR-0088","A","kul_field_gradient","field gradient","validation","Kulikovsky benchmark","10000.0","1","10000.0","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Section 3","direct","high","not_required_yet","",""
"PAR-0089","mu","kul_mobility","mobility","validation","Kulikovsky benchmark","1","1","1","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Section 3","direct","high","not_required_yet","",""
"PAR-0090","D","kul_diffusion","diffusion","validation","Kulikovsky benchmark","1","1","1","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Section 3","direct","high","not_required_yet","",""
"PAR-0091","n1","kul_density_floor","density floor","validation","Kulikovsky benchmark","100.0","1","100.0","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Eqs.(35)-(36)","direct","high","not_required_yet","",""
"PAR-0092","n2","kul_density_amplitude","density amplitude","validation","Kulikovsky benchmark","1000000000000.0","1","1000000000000.0","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Eqs.(35)-(36)","direct","high","not_required_yet","",""
"PAR-0093","sigma_shock","kul_shock_width","shock width","validation","Kulikovsky benchmark","0.02","1","0.02","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Eq.(35)","direct","high","not_required_yet","",""
"PAR-0094","sigma2_gauss","kul_gaussian_width_squared","gaussian width squared","validation","Kulikovsky benchmark","0.04","1","0.04","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Eq.(36)","direct","high","not_required_yet","",""
"PAR-0095","Nfine","kul_fine_grid_points","fine grid points","validation","Kulikovsky benchmark","200","1","200","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Figure 3","direct","high","not_required_yet","",""
"PAR-0096","Ncoarse","kul_coarse_grid_points","coarse grid points","validation","Kulikovsky benchmark","100","1","100","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Figure 3","direct","high","not_required_yet","",""
"PAR-0097","Cfine","kul_fine_courant","fine courant","validation","Kulikovsky benchmark","0.4","1","0.4","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Figure 3","direct","high","not_required_yet","",""
"PAR-0098","Ccoarse","kul_coarse_courant","coarse courant","validation","Kulikovsky benchmark","0.2","1","0.2","1","identity","SRC-0005","PDF pp.5-6, printed pp.153-154, Figure 3","direct","high","not_required_yet","",""
"PAR-0099","domain","ih_domain","domain","validation","Ihaddadene2015","1.2x1.2","cm","0.012x0.012","m","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0100","drz","ih_grid_spacing","grid spacing","validation","Ihaddadene2015","8","um","8e-06","m","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0101","N","ih_grid_points","grid points","validation","Ihaddadene2015","1501x1501","1","1501x1501","1","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0102","V","ih_voltages","voltages","validation","Ihaddadene2015","48;72","kV","48000;72000","V","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0103","E0","ih_fields","fields","validation","Ihaddadene2015","40;60","kV/cm","4e6;6e6","V/m","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0104","sigma_r","ih_radial_width","radial width","validation","Ihaddadene2015","200","um","0.0002","m","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0105","sigma_z","ih_axial_width","axial width","validation","Ihaddadene2015","200","um","0.0002","m","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","high","not_required_yet","",""
"PAR-0106","dt_c","ih_collapse_time","collapse time","validation","Ihaddadene2015","~4","ps","4e-12","s","SI conversion","SRC-0006","PDF pp.2-4, model/results","derived","medium","not_required_yet","",""
"PAR-0107","ion_velocity","ih_ion_immobility","ion immobility","validation","Ihaddadene2015","","","","","","SRC-0006","PDF p.2, Section 2","direct","medium","not_required_yet","",""
"PAR-0108","FCT","ih_fct_solver","fct solver","validation","Ihaddadene2015","","","","","","SRC-0006","PDF p.2, Section 2","direct","medium","not_required_yet","",""
"PAR-0109","Poisson","ih_poisson_solver","poisson solver","validation","Ihaddadene2015","","","","","","SRC-0006","PDF p.2, Section 2","direct","medium","not_required_yet","",""
"PAR-0110","species","shi2016_charged_species","charged species","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0111","ion_velocity","shi2016_ion_immobility","ion immobility","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0112","LFA","shi2016_local_field_approximation","local field approximation","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0113","ve","shi2016_electron_drift_velocity","electron drift velocity","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0114","J","shi2016_current_density","current density","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0115","I","shi2016_current_integration","current integration","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0116","PETSc","shi2016_petsc_framework","petsc framework","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0117","FVM","shi2016_finite_volume_method","finite volume method","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0118","MSG","shi2016_modified_sg","modified sg","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0119","dt","shi2016_time_step_conditions","time step conditions","validation","Shi2016","","","","","","SRC-0007","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0120","n_channel","shi2016_channel_density","representative channel density","validation","Shi2016","~1e19","m^-3","1e+19","m^-3","identity","SRC-0007","figures/results discussion","inferred_from_figure","low","not_required_yet","",""
"PAR-0121","E_peak","shi2016_peak_field","representative peak field","validation","Shi2016","~2e7","V/m","20000000.0","V/m","identity","SRC-0007","figures/results discussion","inferred_from_figure","low","not_required_yet","",""
"PAR-0122","species","shi2017_charged_species","charged species","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0123","ion_velocity","shi2017_ion_immobility","ion immobility","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0124","LFA","shi2017_local_field_approximation","local field approximation","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0125","ve","shi2017_electron_drift_velocity","electron drift velocity","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0126","J","shi2017_current_density","current density","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0127","I","shi2017_current_integration","current integration","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0128","PETSc","shi2017_petsc_framework","petsc framework","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0129","FVM","shi2017_finite_volume_method","finite volume method","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0130","MSG","shi2017_modified_sg","modified sg","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0131","dt","shi2017_time_step_conditions","time step conditions","validation","Shi2017","","","","","","SRC-0008","PDF pp.2-4, model/numerical method","direct","medium","not_required_yet","",""
"PAR-0132","n_channel","shi2017_channel_density","representative channel density","validation","Shi2017","~1e19","m^-3","1e+19","m^-3","identity","SRC-0008","figures/results discussion","inferred_from_figure","low","not_required_yet","",""
"PAR-0133","E_peak","shi2017_peak_field","representative peak field","validation","Shi2017","~2e7","V/m","20000000.0","V/m","identity","SRC-0008","figures/results discussion","inferred_from_figure","low","not_required_yet","",""
"PAR-0134","Maxwell","luque_full_maxwell","full Maxwell formulation","validation","Luque2017","","","","","","SRC-0009","PDF pp.2-6, model/results","direct","medium","not_required_yet","","validation only"
"PAR-0135","FDTD","luque_fdtd","FDTD","validation","Luque2017","","","","","","SRC-0009","PDF pp.2-6, model/results","direct","medium","not_required_yet","","validation only"
"PAR-0136","PML","luque_pml","PML","validation","Luque2017","","","","","","SRC-0009","PDF pp.2-6, model/results","direct","medium","not_required_yet","","validation only"
